Ad ID,Start Date (in UTC),Campaign Name,Campaign Objective,Total Spent,Impressions,Reach,Clicks,Leads,Video Views,Campaign Status
133225203,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_accounts,Lead generation,852.70 ,30850,27138,68,0,,Completed
133225563,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_accounts,Lead generation,137.27 ,7676,7511,12,0,,Completed
133225603,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_accounts,Lead generation,449.39 ,18617,18617,39,0,,Completed
133226883,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_job titles,Lead generation,716.80 ,12026,6893,52,0,,Active
133226893,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_job titles,Lead generation,228.22 ,3785,2801,14,0,,Active
133226903,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_job titles,Lead generation,17.98 ,1037,876,1,0,,Active
133226913,02/01/2021,GE&AT&CHE_G5_Apollo 2000 GEN10_leads_Q2/21_job titles,Lead generation,1536.99 ,23708,11195,109,5,,Active
134436433,02/01/2021,DE_G1_Compute Incremental - Sandy Ono_Image to Website_Job Titles + Accounts,Website visits,3335.37 ,46775,25463,108,0,,Active
134436863,02/01/2021,DE_G2_Compute Incremental - Sandy Ono_Image to Website_Job Titles + Accounts,Website visits,3295.12 ,62012,53553,105,0,,Active
134437303,02/01/2021,DE_G5_Compute Incremental - Sandy Ono_Image to Website_Job Titles + Accounts,Website visits,978.05 ,10188,6870,11,0,,Active
134437813,02/01/2021,DE_G6_Compute Incremental - Sandy Ono_Image to Website_Job Titles + Accounts,Website visits,3828.32 ,76959,56793,140,0,,Active
135254043,02/01/2021,DE&AT&CHE_Hannover Messe_imageQ2/21,Website visits,1000.00 ,12620,9965,31,0,,Completed
127352643,02/01/2021,GE_G3_Unleash the Power of Your Data (Storage)_leads_Q2/21_contacts,Lead generation,6.39 ,715,715,1,0,,Completed
127438923,02/01/2021,GE_G3_Nimble video amplification_Q2/21_job titles,Website visits,955.00 ,29571,12226,60,0,6008,Completed
127440393,02/01/2021,GE_G3_Nimble video amplification_Q2/21_contacts,Website visits,1007.37 ,34370,18842,61,0,7187,Active
127444423,02/01/2021,GE_G4_Simplify & Unlock Agility_dHCI video_Q2/21_job titles,Website visits,960.00 ,26010,10853,50,0,6286,Completed
127444943,02/01/2021,GE_G4_Simplify & Unlock Agility_dHCI video_Q2/21_contacts,Website visits,100.70 ,8911,6386,15,0,1630,Active
127446593,02/01/2021,GE_G4_Simplify & Unlock Agility (Storage)_continuation_leads_Q2/21_job titles,Lead generation,2350.00 ,32666,13953,208,64,,Completed
127447203,02/01/2021,GE_G4_Simplify & Unlock Agility (Storage)_continuation_leads_Q2/21_contacts,Lead generation,3350.00 ,79237,29239,284,28,,Completed
128621763,02/01/2021,GE_G3_Unleash the Power of Your Data (Storage)_leads_Q2/21_job titles,Lead generation,1262.81 ,24295,16016,65,4,,Active
128622293,02/01/2021,GE_G3_Unleash the Power of Your Data (Storage)_leads_Q2/21_contacts,Lead generation,1243.61 ,30572,17841,96,3,,Completed
